"ID","project_type","performance_tier","cost","mobility","reliability","connect","multimodal","assetmngmt","saftey","airclimate","cultenv","social_equity","land_compat","goods_move","emp_access","final_score"
"placeholder","qwe",1,4580000,100,50,35,60,50,57,100,68,100,75,50,100,74
"MID-01","Bike",1,4580000,100,,35,60,,57,100,68,100,75,,100,74
"GW-380","Bike",4,5210000,23,,68,70,,74,4,63,0,25,,100,50
"ADID-02","Ped",1,6150000,100,,100,30,,58,73,50,0,100,,100,70
"HOL-01","Ped",4,3090000,23,,40,0,,10,4,50,0,0,,100,24
"DK-414-1","Ped",4,5680000,54,,100,30,,27,19,50,100,50,,100,60
"DK-414-2","Ped",4,5680000,54,,100,30,,27,19,50,100,50,,100,60
"DK-414-3","Ped",4,5680000,54,,100,30,,27,19,50,100,50,,100,60
"DK-441","Ped",1,5340000,46,,100,70,,48,100,55,0,50,,100,63
"FAI-01","Ped",3,4600000,38,,100,93,,67,27,38,0,50,,100,62
"COS-01","Ped",3,7800000,100,,100,30,,66,100,5,100,50,,100,74
"FS-287","Ped",2,330000,33,,100,30,,18,45,50,100,50,,100,57
"DAL-02","Ped",2,250000,26,,40,0,,33,7,50,0,0,,100,28
"CL-01","Road Asset",3,5010000,74,,66,50,32,25,,40,100,,50,100,58
"CL-267","Road Asset",3,5810000,33,,66,50,53,50,,62,100,,50,100,60
"3-Mar","Road Asset",3,4170000,40,,0,100,56,0,,62,100,,0,100,48
"DO-300","Road Asset",1,630000,28,,66,0,52,0,,50,0,,50,100,37
"FA-02-1","Road Asset",3,590000,8,,33,0,95,50,,26,100,,0,100,47
"FA-02-10","Road Asset",4,580000,5,,33,0,77,50,,38,0,,0,100,36
"FA-02-11","Road Asset",3,940000,23,,66,0,57,50,,0,0,,0,100,38
"FA-02-2","Road Asset",1,270000,18,,33,0,90,50,,37,0,,0,100,40
"FA-02-3","Road Asset",2,260000,9,,33,0,79,50,,41,0,,0,0,27
"FA-02-4","Road Asset",4,2010000,31,,66,0,58,50,,28,0,,0,0,30
"FA-02-5","Road Asset",4,3040000,36,,66,0,68,50,,24,0,,0,0,32
"FA-02-6","Road Asset",1,600000,39,,66,0,51,50,,31,0,,0,100,41
"FA-02-7","Road Asset",1,230000,45,,33,0,50,50,,46,0,,50,100,42
"FA-02-8","Road Asset",4,570000,14,,33,0,59,50,,35,0,,0,0,24
"FA-02-9","Road Asset",2,430000,26,,66,0,79,50,,39,0,,0,0,33
"JOH-05","Road Asset",2,2000000,94,,66,0,18,50,,26,0,,50,0,37
"GW-PVT1","Road Asset",1,2300000,100,,66,0,62,0,,24,0,,50,100,47
"GW-PVT2-1","Road Asset",1,1500000,100,,66,0,60,0,,37,0,,0,100,43
"GW-PVT2-2","Road Asset",1,1500000,100,,66,0,60,0,,37,0,,0,100,43
"GW-PVT3","Road Asset",2,800000,58,,33,0,43,0,,39,0,,0,100,31
"GW-PVT4","Road Asset",2,950000,36,,66,0,69,0,,22,0,,0,0,25
"GW-PVT5","Road Asset",2,1000000,53,,66,0,46,0,,44,0,,0,100,35
"NE-106","Road Asset",3,6660000,46,,66,50,100,0,,61,0,,50,0,43
"NE-107","Road Asset",4,4550000,42,,66,0,69,25,,75,0,,50,0,36
"CCID01","Road Expansion",2,20570000,14,100,0,0,,13,0,41,0,,0,73,25
"CO-450B","Road Expansion",1,31160000,70,0,100,100,,38,82,49,0,,0,84,55
"NEWN-01","Road Expansion",3,52200000,24,30,0,62,,55,31,48,100,,0,65,40
"EAS-01","Road Expansion",3,6330000,11,55,0,9,,21,35,48,100,,100,70,39
"FT-001F","Road Expansion",1,17500000,31,76,0,20,,67,43,43,0,,100,62,44
"AR-ML-020","Road Expansion",3,40100000,86,14,0,0,,14,0,50,100,,100,97,42
"AR-ML-025","Road Expansion",1,29190000,50,42,0,0,,41,100,50,0,,100,50,40
"AR-ML-210","Road Expansion",2,33400000,50,64,0,0,,17,0,0,100,,0,100,34
"AR-ML-240","Road Expansion",2,42720000,50,55,0,0,,20,0,30,100,,0,100,35
"GW-269","Road Expansion",1,39310000,100,100,0,100,,37,46,33,0,,100,100,65
"GW-389","Road Expansion",2,15200000,9,0,0,0,,25,35,50,0,,100,74,25
"GW-EVM1","Road Expansion",2,11600000,19,0,100,4,,38,25,46,0,,100,22,35
"GW-KH","Road Expansion",1,20000000,69,45,0,0,,29,58,45,100,,0,33,35
"HE-005","Road Expansion",1,21940000,51,31,0,62,,41,71,55,100,,100,57,52
"HE-109","Road Expansion",2,7000000,15,0,100,33,,25,45,65,0,,0,23,31
"HE-126 B","Road Expansion",3,18000000,36,32,0,45,,88,30,52,0,,100,64,45
"HE-137","Road Expansion",4,39000000,32,23,0,38,,26,37,47,0,,0,23,22
"HE-161A","Road Expansion",4,32980000,36,33,0,68,,29,38,64,0,,0,63,33
"HE-193","Road Expansion",4,23700000,11,26,0,42,,27,27,68,0,,0,12,20
"PA-036B","Road Expansion",4,38850000,4,3,0,19,,47,25,34,0,,0,15,15
"RO 235E1","Road Expansion",3,27310000,8,53,0,50,,60,37,58,0,,100,68,42
"RO 243","Road Expansion",4,21750000,5,0,100,16,,13,31,54,0,,0,70,29
"RO-235D","Road Expansion",3,28300000,26,25,0,71,,65,31,71,100,,100,70,51
"Atlanta-03","Road Operations",3,18000000,49,44,100,0,,36,0,48,100,,0,100,49
"CHE-01","Road Operations",3,4500000,30,95,100,0,,75,0,50,0,,100,0,48
"CHE-02","Road Operations",3,5800000,48,38,100,0,,72,38,50,0,,100,0,46
"CHE-03","Road Operations",3,4690000,41,49,100,0,,75,38,50,0,,100,0,47
"Brookhaven-04a","Road Operations",1,2600000,70,84,100,30,,44,34,50,0,,0,0,46
"Brookhaven-04b","Road Operations",4,8240000,25,57,100,30,,49,27,49,0,,0,0,37
"Brookhaven-08","Road Operations",4,1920000,47,97,100,48,,38,28,50,0,,0,0,45
"Brookhaven-10","Road Operations",4,7600000,33,62,100,46,,51,28,48,0,,0,0,41
"DK-065B","Road Operations",1,22180000,76,55,100,100,,48,100,53,100,,0,100,74
"DK-344C-1","Road Operations",1,3200000,69,50,100,0,,49,100,51,100,,100,100,69
"DK-344C-2","Road Operations",1,3200000,69,50,100,0,,49,100,51,100,,100,100,69
"DK-344C-3","Road Operations",1,3200000,69,50,100,0,,49,100,51,100,,100,100,69
"DUN-01","Road Operations",2,4600000,92,100,0,50,,67,43,49,0,,0,0,44
"FN-287","Road Operations",4,16000000,41,53,100,0,,31,33,47,0,,100,0,41
"FN-288A","Road Operations",4,7000000,30,48,100,32,,30,28,49,0,,100,0,42
"FT-335","Road Operations",4,1400000,4,17,100,0,,21,25,50,0,,100,0,30
"GW-CVEH","Road Operations",1,2850000,75,47,100,0,,40,100,0,0,,100,100,59
"GW-ITS1-1","Road Operations",1,4890000,66,35,100,0,,13,100,36,100,,100,100,61
"GW-ITS1-2","Road Operations",1,4890000,66,35,100,0,,13,100,36,100,,100,100,61
"GW-ITS1-3","Road Operations",1,4890000,66,35,100,0,,13,100,36,100,,100,100,61
"GW-ITS1-4","Road Operations",1,4890000,66,35,100,0,,13,100,36,100,,100,100,61
"GW-ITS1-5","Road Operations",1,4890000,66,35,100,0,,13,100,36,100,,100,100,61
"GW-ITS1-6","Road Operations",1,4890000,66,35,100,0,,13,100,36,100,,100,100,61
"GW-ITS1-7","Road Operations",1,4890000,66,35,100,0,,13,100,36,100,,100,100,61
"GW-ITS3-1","Road Operations",1,5930000,59,3,100,0,,25,100,36,100,,100,100,58
"GW-ITS3-2","Road Operations",1,5930000,59,3,100,0,,25,100,36,100,,100,100,58
"GW-ITS3-3","Road Operations",1,5930000,59,3,100,0,,25,100,36,100,,100,100,58
"GW-ITS3-4","Road Operations",1,5930000,59,3,100,0,,25,100,36,100,,100,100,58
"GW-ITS3-5","Road Operations",1,5930000,59,3,100,0,,25,100,36,100,,100,100,58
"GW-ITS3-6","Road Operations",1,5930000,59,3,100,0,,25,100,36,100,,100,100,58
"NE-105","Road Operations",3,5760000,8,12,100,0,,88,0,50,0,,100,100,47
"GRI-02","Road Operations",4,2400000,6,24,0,0,,39,25,55,0,,0,0,14
"SP-067A","Road Operations",4,12840000,7,26,100,0,,2,25,46,100,,100,100,46
"AR-550","Transit Asset",3,4250000,54,,,,67,100,,0,0,,,100,60
"GRTA-003","Transit Asset",2,2500000,90,,,,0,100,,0,0,,,100,52
"GRTA-004","Transit Asset",2,8000000,90,,,,0,100,,0,0,,,100,52
"GRTA-006","Transit Asset",3,8250000,33,,,,13,100,,30,100,,,100,60
"GW-PNR","Transit Asset",3,2000000,33,,,,86,0,,25,100,,,100,63
